OL_REF	LANG	EXPR_NO	TOKEN_POS	SOURCE_EXPRESSION	DIGIT_VALUE	ORIGIN	OL_TEXT
1CH 1:19	HEB	1	3	שְׁנֵ֣י	2	RAW_PARSER	וּלְעֵ֥בֶר יֻלַּ֖ד שְׁנֵ֣י בָנִ֑ים שֵׁ֣ם הָאֶחָ֞ד פֶּ֗לֶג כִּ֤י בְיָמָיו֙ נִפְלְגָ֣ה הָאָ֔רֶץ וְשֵׁ֥ם אָחִ֖יו יָקְטָֽן׃
1CH 1:19	HEB	2	6	הָאֶחָ֞ד	1	RAW_PARSER	וּלְעֵ֥בֶר יֻלַּ֖ד שְׁנֵ֣י בָנִ֑ים שֵׁ֣ם הָאֶחָ֞ד פֶּ֗לֶג כִּ֤י בְיָמָיו֙ נִפְלְגָ֣ה הָאָ֔רֶץ וְשֵׁ֥ם אָחִ֖יו יָקְטָֽן׃
1CH 2:3	HEB	1	6	שְׁלוֹשָׁה֙	3	RAW_PARSER	בְּנֵ֣י יְהוּדָ֗ה עֵ֤ר וְאוֹנָן֙ וְשֵׁלָ֔ה שְׁלוֹשָׁה֙ נ֣וֹלַד ל֔וֹ מִבַּת־שׁ֖וּעַ הַֽכְּנַעֲנִ֑ית וַיְהִ֞י עֵ֣ר_׀ בְּכ֣וֹר יְהוּדָ֗ה רַ֛ע בְּעֵינֵ֥י יְהוָ֖ה וַיְמִיתֵֽהוּ׃ ס
1CH 2:4	HEB	1	12	חֲמִשָּֽׁה׃	5	RAW_PARSER	וְתָמָר֙ כַּלָּת֔וֹ יָ֥לְדָה לּ֖וֹ אֶת־פֶּ֣רֶץ וְאֶת־זָ֑רַח כָּל־בְּנֵ֥י יְהוּדָ֖ה חֲמִשָּֽׁה׃ ס
1CH 2:6	HEB	1	9	חֲמִשָּֽׁה׃	5	RAW_PARSER	וּבְנֵ֣י זֶ֗רַח זִ֠מְרִי וְאֵיתָ֧ן וְהֵימָ֛ן וְכַלְכֹּ֥ל וָדָ֖רַע כֻּלָּ֥ם חֲמִשָּֽׁה׃ ס
1CH 2:13	HEB	1	8	הַשֵּׁנִ֔י	2	RAW_PARSER	וְאִישַׁ֛י הוֹלִ֥יד אֶת־בְּכֹר֖וֹ אֶת־אֱלִיאָ֑ב וַאֲבִינָדָב֙ הַשֵּׁנִ֔י וְשִׁמְעָ֖א הַשְּׁלִישִֽׁי׃
1CH 2:13	HEB	2	10	הַשְּׁלִישִֽׁי׃	3	RAW_PARSER	וְאִישַׁ֛י הוֹלִ֥יד אֶת־בְּכֹר֖וֹ אֶת־אֱלִיאָ֑ב וַאֲבִינָדָב֙ הַשֵּׁנִ֔י וְשִׁמְעָ֖א הַשְּׁלִישִֽׁי׃
1CH 2:14	HEB	1	2	הָֽרְבִיעִ֔י	4	RAW_PARSER	נְתַנְאֵל֙ הָֽרְבִיעִ֔י רַדַּ֖י הַחֲמִישִֽׁי׃
1CH 2:14	HEB	2	4	הַחֲמִישִֽׁי׃	5	RAW_PARSER	נְתַנְאֵל֙ הָֽרְבִיעִ֔י רַדַּ֖י הַחֲמִישִֽׁי׃
1CH 2:15	HEB	1	2	הַשִּׁשִּׁ֔י	6	RAW_PARSER	אֹ֚צֶם הַשִּׁשִּׁ֔י דָּוִ֖יד הַשְּׁבִעִֽי׃
