BK	CH	VS	REF	LANG	OL_TEXT	OL_QUANTITY	NIV_TEXT	NIV_QUANTITY	CLASS	SCHOLARSHIP_STATUS	NOTE	SOURCE_IDS
LUK	13	21	LUK 13:21	GRK	ὁμοία ἐστὶν ζύμῃ, ἣν λαβοῦσα γυνὴ [ἐν]έκρυψεν εἰς ἀλεύρου σάτα τρία ἕως οὗ ἐζυμώθη ὅλον.	3 sata	It is like yeast that a woman took and mixed into about sixty poundsof flour until it worked all through the dough.”	about 60 pounds	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts the ancient sata measure into an approximate modern quantity. Numeric display changes because the unit system changes; classify as PASS—UNIT CONVERSION, not a textual value variant.	BIBLICA_PHILOSOPHY;UNIT_LUK_13_21
LUK	16	6	LUK 16:6	GRK	ὁ δὲ εἶπεν, Ἑκατὸν βάτους ἐλαίου. ὁ δὲ εἶπεν αὐτῷ, Δέξαι σου τὰ γράμματα καὶ καθίσας ταχέως γράψον πεντήκοντα.	100 baths; 50 baths	“ ‘Nine hundred gallonsof olive oil,’ he replied. “The manager told him, ‘Take your bill, sit down quickly, and make it four hundred and fifty.’	900 gallons; 450 gallons	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts baths to gallons and scales both 100 and 50 accordingly. The displayed numbers differ, but the intended quantities are approximately equivalent.	BIBLICA_PHILOSOPHY;UNIT_LUK_16_6
LUK	16	7	LUK 16:7	GRK	ἔπειτα ἑτέρῳ εἶπεν, Σὺ δὲ πόσον ὀφείλεις; ὁ δὲ εἶπεν, Ἑκατὸν κόρους σίτου. λέγει αὐτῷ, Δέξαι σου τὰ γράμματα καὶ γράψον ὀγδοήκοντα.	100 cors; 80 cors	“Then he asked the second, ‘And how much do you owe?’ “ ‘A thousand bushelsof wheat,’ he replied. “He told him, ‘Take your bill and make it eight hundred.’	1,000 bushels; 800 bushels	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts cors to bushels and scales both 100 and 80 accordingly. Treat as approximate unit conversion, not source-number disagreement.	BIBLICA_PHILOSOPHY;UNIT_LUK_16_7
LUK	24	13	LUK 24:13	GRK	Καὶ ἰδοὺ δύο ἐξ αὐτῶν ἐν αὐτῇ τῇ ἡμέρᾳ ἦσαν πορευόμενοι εἰς κώμην ἀπέχουσαν σταδίους ἑξήκοντα ἀπὸ Ἰερουσαλήμ, ᾗ ὄνομα Ἐμμαοῦς,	60 stadia	Now that same day two of them were going to a village called Emmaus, about seven miles from Jerusalem.	about 7 miles	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts 60 stadia to about 7 miles. Same approximate distance, different unit system.	BIBLICA_PHILOSOPHY;UNIT_LUK_24_13
JHN	2	6	JHN 2:6	GRK	ἦσαν δὲ ἐκεῖ λίθιναι ὑδρίαι ἓξ κατὰ τὸν καθαρισμὸν τῶν Ἰουδαίων κείμεναι, χωροῦσαι ἀνὰ μετρητὰς δύο ἢ τρεῖς.	2-3 metretes	Nearby stood six stone water jars, the kind used by the Jews for ceremonial washing, each holding from twenty to thirty gallons.	20-30 gallons	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts 2–3 metretes into an approximate 20–30 gallon capacity range. Same approximate capacity range.	BIBLICA_PHILOSOPHY;UNIT_JHN_2_6
JHN	6	19	JHN 6:19	GRK	ἐληλακότες οὖν ὡς σταδίους εἴκοσι πέντε ἢ τριάκοντα θεωροῦσιν τὸν Ἰησοῦν περιπατοῦντα ἐπὶ τῆς θαλάσσης καὶ ἐγγὺς τοῦ πλοίου γινόμενον, καὶ ἐφοβήθησαν.	25-30 stadia	When they had rowed about three or four miles, they saw Jesus approaching the boat, walking on the water; and they were frightened.	about 3-4 miles	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts 25–30 stadia to about 3–4 miles. Same approximate distance range.	BIBLICA_PHILOSOPHY;UNIT_JHN_6_19
JHN	11	18	JHN 11:18	GRK	ἦν δὲ ἡ Βηθανία ἐγγὺς τῶν Ἱεροσολύμων ὡς ἀπὸ σταδίων δεκαπέντε.	15 stadia	Now Bethany was less than two miles from Jerusalem,	less than 2 miles	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts 15 stadia to less than 2 miles. Same approximate distance.	BIBLICA_PHILOSOPHY;UNIT_JHN_11_18
JHN	19	39	JHN 19:39	GRK	ἦλθεν δὲ καὶ Νικόδημος, ὁ ἐλθὼν πρὸς αὐτὸν νυκτὸς τὸ πρῶτον, φέρων μίγμα σμύρνης καὶ ἀλόης ὡς λίτρας ἑκατόν.	about 100 litras	He was accompanied by Nicodemus, the man who earlier had visited Jesus at night. Nicodemus brought a mixture of myrrh and aloes, about seventy-five pounds.	about 75 pounds	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts about 100 litras to about 75 pounds. Same approximate weight.	BIBLICA_PHILOSOPHY;UNIT_JHN_19_39
JHN	21	8	JHN 21:8	GRK	οἱ δὲ ἄλλοι μαθηταὶ τῷ πλοιαρίῳ ἦλθον, οὐ γὰρ ἦσαν μακρὰν ἀπὸ τῆς γῆς ἀλλὰ ὡς ἀπὸ πηχῶν διακοσίων, σύροντες τὸ δίκτυον τῶν ἰχθύων.	about 200 cubits	The other disciples followed in the boat, towing the net full of fish, for they were not far from shore, about a hundred yards.	about 100 yards	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts about 200 cubits to about 100 yards. Same approximate distance.	BIBLICA_PHILOSOPHY;UNIT_JHN_21_8
ACT	27	28	ACT 27:28	GRK	καὶ βολίσαντες εὗρον ὀργυιὰς εἴκοσι, βραχὺ δὲ διαστήσαντες καὶ πάλιν βολίσαντες εὗρον ὀργυιὰς δεκαπέντε·	20 fathoms; 15 fathoms	They took soundings and found that the water was a hundred and twenty feet deep. A short time later they took soundings again and found it was ninety feet deep.	120 feet; 90 feet	UNIT_CONVERSION_NOT_TEXTUAL_VARIANT	NOT_TEXTUAL_VARIANT	NIV converts 20 and 15 fathoms to 120 and 90 feet. Exact proportional conversion under the chosen fathom convention.	BIBLICA_PHILOSOPHY;UNIT_ACT_27_28
