LAYER	BK	CH	VS	OL_REF	LANG	ACTION	EXPR_NO	TOKEN_POS	SOURCE_EXPRESSION	ORIGINAL_VALUES	FINAL_VALUES	RULE_CLASS	REASON	REVIEW_STATUS
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 1:1	HEB	DROP_EXPR	1		שֵׁ֖ת	6		LEXICAL_FALSE_POSITIVE	Proper-name/body lexeme שֵׁת is not the numeral six in this context.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 8:32	HEB	DROP_EXPR	1		שִׁמְאָ֑ה	100		LEXICAL_FALSE_POSITIVE	Proper name Shimeah, not the numeral hundred.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 13:1	HEB	REPLACE_VERSE_VALUES			הָאֲלָפִ֛ים וְהַמֵּא֖וֹת	1100	1000;100	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 15:21	HEB	DROP_EXPR	1		הַשְּׁמִינִ֖ית	8		LEXICAL_FALSE_POSITIVE	Lexicalized musical term Sheminith; excluded from numeric index rather than treated as ordinal eight.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 20:6	HEB	REPLACE_VERSE_VALUES			שֵׁשׁ וָשֵׁשׁ֙ עֶשְׂרִ֣ים וְאַרְבַּ֔ע | שֵׁשׁ וָשֵׁשׁ֙ עֶשְׂרִ֣ים וְאַרְבַּ֔ע	6;30	6;6;24	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 24:11	HEB	ADD_EXPR			הַתְּשִׁעִי | הָעֲשִׂרִי		9;10	MISSING_OL_NUMERAL	Ninth and tenth ordinals are explicit in supplied Hebrew.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 26:26	HEB	REPLACE_VERSE_VALUES			הָאֲלָפִ֥ים וְהַמֵּא֖וֹת	1100	1000;100	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 27:1	HEB	REPLACE_VERSE_VALUES			הָֽאֲלָפִ֣ים_׀ וְהַמֵּא֡וֹת | הָֽאַחַ֔ת עֶשְׂרִ֥ים וְאַרְבָּעָ֖ה אָֽלֶף׃	1100;25000	1000;100;1;24000	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 27:14	HEB	REPLACE_VERSE_VALUES			עַשְׁתֵּֽי עָשָׂר֙ לְעַשְׁתֵּ֣י עָשָׂ֣ר | עֶשְׂרִ֥ים וְאַרְבָּעָ֖ה אָֽלֶף׃	22;24000	11;11;24000	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1CH 29:6	HEB	REPLACE_VERSE_VALUES			הָאֲלָפִים֙ וְהַמֵּא֔וֹת	1100	1000;100	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 1:27	HEB	DROP_EXPR	1		מֵאֵת֙	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 5:14	HEB	DROP_EXPR	1		מֵאֵת֙	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 6:24	HEB	REPLACE_VERSE_VALUES			וְחָמֵ֣שׁ | הָֽאֶחָ֔ת וְחָמֵ֣שׁ | הַשֵּׁנִ֑ית עֶ֣שֶׂר | הַשֵּׁנִ֑ית עֶ֣שֶׂר	5;6;2;10	5;1;5;2;10	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 6:33	HEB	DROP_EXPR	1		מֵאֵ֖ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 11:23	HEB	DROP_EXPR	1		מֵאֵ֛ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 13:6	HEB	DROP_EXPR	1		כְּבָרִֽאשֹׁנָֽה׃	1		LEXICAL_FALSE_POSITIVE	"Temporal/lexicalized ""formerly/as before/former things"" usage, not numeric rank one."	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 16:24	HEB	DROP_EXPR	1		מֵ֥אֶת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 18:44	HEB	ADD_EXPR			בַּשְּׁבִעִית		7	MISSING_OL_NUMERAL	Seventh is explicit in supplied Hebrew.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1KI 20:34	HEB	DROP_EXPR	1		מֵאֵ֨ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1SA 2:23	HEB	DROP_EXPR	1		מֵאֵ֖ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1SA 7:14	HEB	DROP_EXPR	1		מֵאֵ֨ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1SA 14:28	HEB	DROP_EXPR	1		הַשְׁבֵּעַ֩	7		LEXICAL_FALSE_POSITIVE	verb of swearing/adjuration, not seven	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1SA 16:14	HEB	DROP_EXPR	1		מֵאֵ֥ת	100		LEXICAL_FALSE_POSITIVE	Pointed מֵאֵת/מֵאֶת is the prepositional construction 'from/by', not the numeral 'hundred'.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1SA 25:2	HEB	REPLACE_VERSE_VALUES			שְׁלֹֽשֶׁת אֲלָפִ֖ים וְאֶ֣לֶף	4000	3000;1000	STRUCTURAL_COMPOSITION	Three thousand sheep and one thousand goats are distinct quantities.	CONFIRMED
AUDITED_OL_NORMALIZATION_MANIFEST				1SA 29:2	HEB	REPLACE_VERSE_VALUES			לְמֵא֖וֹת וְלַאֲלָפִ֑ים	1100	100;1000	STRUCTURAL_COMPOSITION	Reviewed OL syntax requires independent values in source order; prior seed merged or omitted expression boundaries.	CONFIRMED
