BK	CH	VS	OL_REF	CLASS	NIV_FOOTNOTE	MANUSCRIPT_EVIDENCE	CRITICAL_TEXT_POSITION	MAJORITY_SCHOLARSHIP_POSITION	SCHOLARSHIP_STATUS	OL_VALUE_RESEARCHED	NIV_VALUE_RESEARCHED	APOLOGETIC_SUMMARY	TEXTUAL_CRITICAL_NOTE	SOURCE_IDS
JDG	14	15	JDG 14:15	ATTESTED_TEXTUAL_VARIANT	Some Septuagint manuscripts and Syriac; Hebrew seventh	Configured MT/OL reads seventh. Some Septuagint manuscripts and the Syriac Peshitta read fourth.	The NIV follows fourth; internal chronology (three days in v.14 and continued pressure through v.17) supports the ancient-version reading.	Critical balance favors fourth as the better reconstructed reading, although the dominant MT tradition reads seventh.	NIV_FAVORED	7	4	The NIV value is text-critically defensible because it has ancient versional support and resolves the narrative sequence without changing the configured OL authority.	Attested Textual Variant — configured OL reads 7; NIV reads 4. Configured MT/OL reads seventh. Some Septuagint manuscripts and the Syriac Peshitta read fourth. Scholarship: Critical balance favors fourth as the better reconstructed reading, although the dominant MT tradition reads seventh. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_JDG1415
1SA	1	24	1SA 1:24	ATTESTED_TEXTUAL_VARIANT	Dead Sea Scrolls, Septuagint and Syriac; Masoretic Text with three bulls	MT reads three bulls; DSS, Septuagint and Syriac support a reading represented as a three-year-old bull.	The NIV follows the DSS/LXX/Syriac-supported reading. Modern critical treatments often prefer it, while some scholars and translations retain MT.	NIV-side reading is favored in substantial modern text-critical scholarship, but the judgment is not unanimous.	NIV_FAVORED	3;1	3	The NIV does not merely change 3 to another number; it construes the age/animal phrase differently on ancient textual evidence. OL remains Authority 1.	Attested Textual Variant — configured OL reads 3;1; NIV reads 3. MT reads three bulls; DSS, Septuagint and Syriac support a reading represented as a three-year-old bull. Scholarship: NIV-side reading is favored in substantial modern text-critical scholarship, but the judgment is not unanimous. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;SCIELO_1SA124
1SA	6	19	1SA 6:19	ATTESTED_TEXTUAL_VARIANT	A few Hebrew manuscripts; most Hebrew manuscripts and Septuagint 50,070	Most Hebrew manuscripts and the Septuagint support 50,070; only a few Hebrew manuscripts support 70.	External textual evidence strongly supports the configured OL/MT reading; the NIV follows a minority Hebrew reading of 70.	The OL/MT 50,070 reading is strongly favored on extant external evidence.	OL_FAVORED	70;50000	70	NIV 70 is genuinely attested and therefore explainable, but the evidence does not justify treating it as equal or superior to the configured OL reading.	Attested Textual Variant — configured OL reads 70;50000; NIV reads 70. Most Hebrew manuscripts and the Septuagint support 50,070; only a few Hebrew manuscripts support 70. Scholarship: The OL/MT 50,070 reading is strongly favored on extant external evidence. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_1SA619
1SA	13	1	1SA 13:1	CONJECTURAL_EMENDATION_RECONSTRUCTION	A few late manuscripts of the Septuagint; Hebrew does not have thirty. | Probable reading of the original Hebrew text (see Acts 13:21 ); Masoretic Text does not have forty- .	MT lacks Saul's usable accession age and gives two years; most LXX manuscripts omit the verse, a few Greek manuscripts supply thirty, and Syriac differs.	The text is damaged/incomplete. NIV 30/42 combines a sparsely attested age proposal with a reconstruction using Acts 13:21 and MT two.	No secure majority reconstruction exists; major translations and scholars restore the verse differently or leave lacunae.	RECONSTRUCTED_BUT_NOT_SECURE	1;2	30;42	NIV 30/42 is a transparent reconstruction of a corrupt formula, not a claim that those figures are directly present in the configured OL.	Conjectural Emendation Reconstruction — configured OL reads 1;2; NIV reads 30;42. MT lacks Saul's usable accession age and gives two years; most LXX manuscripts omit the verse, a few Greek manuscripts supply thirty, and Syriac differs. Scholarship: No secure majority reconstruction exists; major translations and scholars restore the verse differently or leave lacunae. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_1SA131
1SA	13	5	1SA 13:5	ATTESTED_TEXTUAL_VARIANT	Some Septuagint manuscripts and Syriac; Hebrew thirty thousand	Configured Hebrew reads 30,000 chariots; some Septuagint manuscripts and Syriac read 3,000.	The lower reading is ancient and contextually plausible, but the MT reading has substantial critical defense.	No clear scholarly majority should be asserted; modern critical practice remains divided.	DIVIDED	30000;6000	3000;6000	NIV 3,000 has real ancient support and avoids an unusually large chariot total, while SAGE retains OL 30,000 as Authority 1.	Attested Textual Variant — configured OL reads 30000;6000; NIV reads 3000;6000. Configured Hebrew reads 30,000 chariots; some Septuagint manuscripts and Syriac read 3,000. Scholarship: No clear scholarly majority should be asserted; modern critical practice remains divided. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;TIPS_1SA135
2SA	8	4	2SA 8:4	ATTESTED_TEXTUAL_VARIANT	Septuagint (see also Dead Sea Scrolls and 1 Chron. 18:4 ); Masoretic Text captured seventeen hundred of his charioteers	MT reads 1,700 charioteers; LXX reads 1,000 chariots and 7,000 charioteers. NIV footnote also points to DSS and the parallel 1 Chr 18:4.	NIV adopts the LXX/parallel form; some critical translations such as NET retain MT 1,700.	Evidence leans toward the NIV-side reconstruction because of ancient and parallel support, but it is not a manuscript-majority reading and is not unanimous.	NIV_FAVORED	1700;20000;100	1000;7000;20000;100	The NIV reading is a supported reconstruction rather than an arbitrary numerical harmonization; SAGE still records the configured MT values unchanged.	Attested Textual Variant — configured OL reads 1700;20000;100; NIV reads 1000;7000;20000;100. MT reads 1,700 charioteers; LXX reads 1,000 chariots and 7,000 charioteers. NIV footnote also points to DSS and the parallel 1 Chr 18:4. Scholarship: Evidence leans toward the NIV-side reconstruction because of ancient and parallel support, but it is not a manuscript-majority reading and is not unanimous. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_2SA84
2SA	15	7	2SA 15:7	ATTESTED_TEXTUAL_VARIANT	Some Septuagint manuscripts, Syriac and Josephus; Hebrew forty	MT reads forty; Lucianic Greek, Syriac, Vulgate, and the NIV footnote's Josephus evidence support four.	Four fits the chronology, whereas forty cannot readily fit David/Absalom chronology; most modern English translations use four.	Modern critical judgment strongly favors four.	NIV_FAVORED	40	4	NIV four is supported by multiple ancient witnesses and chronology; OL forty remains the configured authority value for comparison.	Attested Textual Variant — configured OL reads 40; NIV reads 4. MT reads forty; Lucianic Greek, Syriac, Vulgate, and the NIV footnote's Josephus evidence support four. Scholarship: Modern critical judgment strongly favors four. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_2SA157
2SA	24	13	2SA 24:13	ATTESTED_TEXTUAL_VARIANT	Septuagint (see also 1 Chron. 21:12 ); Hebrew seven	MT reads seven years; Septuagint reads three, agreeing with the parallel 1 Chr 21:12.	Many modern translations follow three on LXX and parallel-passage evidence.	Modern critical translation practice favors three, though MT-oriented editions retain seven.	NIV_FAVORED	7;3;3	3;3;3	NIV three is supported by the Greek witness and an independent biblical parallel; SAGE retains OL seven as Authority 1.	Attested Textual Variant — configured OL reads 7;3;3; NIV reads 3;3;3. MT reads seven years; Septuagint reads three, agreeing with the parallel 1 Chr 21:12. Scholarship: Modern critical translation practice favors three, though MT-oriented editions retain seven. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_2SA2413
1KI	4	26	1KI 5:6	ATTESTED_TEXTUAL_VARIANT	Some Septuagint manuscripts (see also 2 Chron. 9:25 ); Hebrew forty	MT (OL ref 1KI 5:6) reads 40,000 stalls; some Greek manuscripts and 2 Chr 9:25 read 4,000.	NIV adopts 4,000; modern translations divide, but 4,000 has parallel support and is often judged the less inflated reading.	Editorial/critical balance leans 4,000, but there is no claim of Hebrew manuscript majority and several major translations retain 40,000.	NIV_FAVORED	40000;12000	4000;12000	NIV 4,000 is an attested and parallel-supported critical choice, not a replacement of the configured OL 40,000.	Attested Textual Variant — configured OL reads 40000;12000; NIV reads 4000;12000. MT (OL ref 1KI 5:6) reads 40,000 stalls; some Greek manuscripts and 2 Chr 9:25 read 4,000. Scholarship: Editorial/critical balance leans 4,000, but there is no claim of Hebrew manuscript majority and several major translations retain 40,000. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_1KI426
1KI	5	11	1KI 5:25	ATTESTED_TEXTUAL_VARIANT	Septuagint (see also 2 Chron. 2:10 ); Hebrew twenty cors	MT (OL ref 1KI 5:25) has twenty cors of oil; ancient Greek and the 2 Chr 2:10 parallel support twenty thousand baths; Syriac also differs.	NIV follows 20,000 baths. Many interpreters emend toward the version/parallel reading; some translations retain MT.	NIV-side reading has substantial modern critical support but is not unanimous.	NIV_FAVORED	20000;20	20000;20000	The NIV value/unit has ancient and parallel evidence. The note explains the divergence while preserving MT twenty cors as OL Authority 1.	Attested Textual Variant — configured OL reads 20000;20; NIV reads 20000;20000. MT (OL ref 1KI 5:25) has twenty cors of oil; ancient Greek and the 2 Chr 2:10 parallel support twenty thousand baths; Syriac also differs. Scholarship: NIV-side reading has substantial modern critical support but is not unanimous. OL remains Authority 1 in SAGE; this note explains the NIV/alternate reading and does not replace OL.	NIV_LOCAL;NET_1KI511;TIPS_1KI511
