BK	CH	VS	OL_REF	OL_VALUES	ALT_NIV_VALUES	CLASS	SCHOLARSHIP_STATUS	FOOTNOTE_IF_TARGET_FOLLOWS_OL	FOOTNOTE_IF_TARGET_FOLLOWS_ALT	VALIDATION_IF_TARGET_FOLLOWS_OL	VALIDATION_IF_TARGET_FOLLOWS_ALT	SUGGESTED_NOTE_IF_OL_SELECTED	SUGGESTED_NOTE_IF_ALT_SELECTED	MANUSCRIPT_EVIDENCE	SCHOLARSHIP_POSITION	NIV_FOOTNOTE	SOURCE_IDS	SOURCE_URLS
JDG	14	15	JDG 14:15	7	4	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Some ancient versions read fourth; the Hebrew text reads seventh.	Hebrew reads seventh; some Septuagint manuscripts and the Syriac read fourth.	Configured MT/OL reads seventh. Some Septuagint manuscripts and the Syriac Peshitta read fourth.	Critical balance favors fourth as the better reconstructed reading, although the dominant MT tradition reads seventh.	Some Septuagint manuscripts and Syriac; Hebrew seventh	NIV_LOCAL;NET_JDG1415	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/passage.php?passage=Jdg+14%3A15
1SA	1	24	1SA 1:24	3;1	3	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Dead Sea Scrolls, Septuagint and Syriac support a three-year-old bull; the Masoretic Text reads three bulls.	Masoretic Text reads three bulls; Dead Sea Scrolls, Septuagint and Syriac support a three-year-old bull.	MT reads three bulls; DSS, Septuagint and Syriac support a reading represented as a three-year-old bull.	NIV-side reading is favored in substantial modern text-critical scholarship, but the judgment is not unanimous.	Dead Sea Scrolls, Septuagint and Syriac; Masoretic Text with three bulls	NIV_LOCAL;SCIELO_1SA124	https://www.biblica.com/niv-bible/; https://www.scielo.org.za/scielo.php?pid=S0259-94222020000400041&script=sci_arttext
1SA	6	19	1SA 6:19	70;50000	70	ATTESTED_TEXTUAL_VARIANT	OL_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	CAUTION_ACCEPTABLE_ATTESTED_MINOR_READING_WITH_FOOTNOTE	A few Hebrew manuscripts read seventy; most Hebrew manuscripts and the Septuagint support 50,070.	Most Hebrew manuscripts and the Septuagint support 50,070; a few Hebrew manuscripts read seventy.	Most Hebrew manuscripts and the Septuagint support 50,070; only a few Hebrew manuscripts support 70.	The OL/MT 50,070 reading is strongly favored on extant external evidence.	A few Hebrew manuscripts; most Hebrew manuscripts and Septuagint 50,070	NIV_LOCAL;NET_1SA619	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/passage.php?passage=1Sa+6%3A19
1SA	13	1	1SA 13:1	1;2	30;42	CONJECTURAL_EMENDATION_RECONSTRUCTION	RECONSTRUCTED_BUT_NOT_SECURE	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	The Hebrew text is incomplete in this regnal formula; ancient witnesses and modern translations reconstruct the missing numbers differently.	The Hebrew text does not contain all the supplied numbers; the regnal formula is reconstructed and remains textually uncertain.	MT lacks Saul's usable accession age and gives two years; most LXX manuscripts omit the verse, a few Greek manuscripts supply thirty, and Syriac differs.	No secure majority reconstruction exists; major translations and scholars restore the verse differently or leave lacunae.	A few late manuscripts of the Septuagint; Hebrew does not have thirty. | Probable reading of the original Hebrew text (see Acts 13:21 ); Masoretic Text does not have forty- .	NIV_LOCAL;NET_1SA131	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/passage.php?passage=1Sa+13%3A1
1SA	13	5	1SA 13:5	30000;6000	3000;6000	ATTESTED_TEXTUAL_VARIANT	DIVIDED	REQUIRE	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Some Septuagint manuscripts and the Syriac read 3,000; the Hebrew text reads 30,000.	Hebrew reads 30,000; some Septuagint manuscripts and the Syriac read 3,000.	Configured Hebrew reads 30,000 chariots; some Septuagint manuscripts and Syriac read 3,000.	No clear scholarly majority should be asserted; modern critical practice remains divided.	Some Septuagint manuscripts and Syriac; Hebrew thirty thousand	NIV_LOCAL;TIPS_1SA135	https://www.biblica.com/niv-bible/; https://tips.translation.bible/story/translation-commentary-on-1-samuel-135/
2SA	8	4	2SA 8:4	1700;20000;100	1000;7000;20000;100	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Septuagint and the parallel in 1 Chronicles 18:4 support 1,000 chariots and 7,000 charioteers; the Hebrew text reads 1,700 charioteers.	Hebrew reads 1,700 charioteers; Septuagint and the parallel in 1 Chronicles 18:4 support 1,000 chariots and 7,000 charioteers.	MT reads 1,700 charioteers; LXX reads 1,000 chariots and 7,000 charioteers. NIV footnote also points to DSS and the parallel 1 Chr 18:4.	Evidence leans toward the NIV-side reconstruction because of ancient and parallel support, but it is not a manuscript-majority reading and is not unanimous.	Septuagint (see also Dead Sea Scrolls and 1 Chron. 18:4 ); Masoretic Text captured seventeen hundred of his charioteers	NIV_LOCAL;NET_2SA84	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=2Sa&chapter=8&verse=4
2SA	15	7	2SA 15:7	40	4	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Some ancient witnesses read four years; the Hebrew text reads forty years.	Hebrew reads forty years; several ancient witnesses support four years.	MT reads forty; Lucianic Greek, Syriac, Vulgate, and the NIV footnote's Josephus evidence support four.	Modern critical judgment strongly favors four.	Some Septuagint manuscripts, Syriac and Josephus; Hebrew forty	NIV_LOCAL;NET_2SA157	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=2Sa&chapter=15&verse=7
2SA	24	13	2SA 24:13	7;3;3	3;3;3	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Septuagint and 1 Chronicles 21:12 read three years; the Hebrew text reads seven years.	Hebrew reads seven years; Septuagint and 1 Chronicles 21:12 read three years.	MT reads seven years; Septuagint reads three, agreeing with the parallel 1 Chr 21:12.	Modern critical translation practice favors three, though MT-oriented editions retain seven.	Septuagint (see also 1 Chron. 21:12 ); Hebrew seven	NIV_LOCAL;NET_2SA2413	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=2Sa&chapter=24&verse=13
1KI	4	26	1KI 5:6	40000;12000	4000;12000	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Some Septuagint manuscripts and 2 Chronicles 9:25 read 4,000; the Hebrew text reads 40,000.	Hebrew reads 40,000; some Septuagint manuscripts and 2 Chronicles 9:25 read 4,000.	MT (OL ref 1KI 5:6) reads 40,000 stalls; some Greek manuscripts and 2 Chr 9:25 read 4,000.	Editorial/critical balance leans 4,000, but there is no claim of Hebrew manuscript majority and several major translations retain 40,000.	Some Septuagint manuscripts (see also 2 Chron. 9:25 ); Hebrew forty	NIV_LOCAL;NET_1KI426	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=1Ki&chapter=4&verse=26
1KI	5	11	1KI 5:25	20000;20	20000;20000	ATTESTED_TEXTUAL_VARIANT	NIV_FAVORED	RECOMMEND	REQUIRE	PASS_AUTHORITY1	ACCEPTABLE_VARIANT_WITH_FOOTNOTE	Septuagint and 2 Chronicles 2:10 support 20,000 baths of oil; the Hebrew text reads twenty cors.	Hebrew reads twenty cors of oil; Septuagint and 2 Chronicles 2:10 support 20,000 baths.	MT (OL ref 1KI 5:25) has twenty cors of oil; ancient Greek and the 2 Chr 2:10 parallel support twenty thousand baths; Syriac also differs.	NIV-side reading has substantial modern critical support but is not unanimous.	Septuagint (see also 2 Chron. 2:10 ); Hebrew twenty cors	NIV_LOCAL;NET_1KI511;TIPS_1KI511	https://www.biblica.com/niv-bible/; https://classic.net.bible.org/verse.php?book=1Ki&chapter=5&verse=11; https://tips.translation.bible/story/translation-commentary-on-1-kings-511/
