SOURCE_ID	AUTHOR_OR_ORGANIZATION	TITLE	DATE_OR_EDITION	URL	ACCESS_NOTE	EVIDENCE_USED
OL_HEB_LOCAL	SAGE operator-supplied corpus	@HEB bundled distribution resource	Exact edition unresolved		Local: /mnt/data/heb_extract/heb; README identifies generic MT only. Resolve exact edition/acquisition/redistribution authority before public distribution.	Configured Hebrew/Aramaic OL Authority 1 and OL source coordinates.
OL_GRK_LOCAL	SAGE operator-supplied corpus	@GRK bundled distribution resource	Exact edition unresolved		Local: /mnt/data/grk_extract/grk; README metadata ambiguous between Nestle-Aland and AGNT. Resolve before public distribution.	Configured Greek OL Authority 1 and OL source coordinates.
NIV_LOCAL	Biblica	New International Version supplied USFM main text and footnotes	Operator-supplied usNIVv2	https://www.biblica.com/niv-bible/	Local: /mnt/data/niv_extract/usNIVv2; main text is Authority 2. Footnotes used only as textual-critical evidence.	NIV main readings and exact witness/variant footnotes.
NET_JDG1415	NET Bible / Bible.org	Judges 14:15 textual note	NET Bible notes	https://classic.net.bible.org/passage.php?passage=Jdg+14%3A15	Web	MT seventh vs LXX/Syriac fourth; one-letter difference; narrative fit supports fourth.
SCIELO_1SA124	Herculaas F. van Rooy	The use of the Septuagint in Afrikaans Bible translations	HTS Theological Studies 76(4), 2020; DOI 10.4102/hts.v76i4.6137	https://www.scielo.org.za/scielo.php?pid=S0259-94222020000400041&script=sci_arttext	Web	1 Sam 1:24: DSS/LXX/Syriac and modern critical discussion of three-year-old bull vs MT three bulls.
NET_1SA619	NET Bible / Bible.org	1 Samuel 6:19 textual note	NET Bible notes	https://classic.net.bible.org/passage.php?passage=1Sa+6%3A19	Web	50,070 has nearly unanimous external support; 70 occurs in a few Hebrew manuscripts.
NET_1SA131	NET Bible / Bible.org	1 Samuel 13:1 textual notes	NET Bible notes	https://classic.net.bible.org/passage.php?passage=1Sa+13%3A1	Web	MT is incomplete/difficult; 30 and total reign restorations are uncertain; 42 is reconstruction using Acts 13:21 plus MT two.
TIPS_1SA135	United Bible Societies / TIPs	Translation commentary on 1 Samuel 13:5	Translation commentary	https://tips.translation.bible/story/translation-commentary-on-1-samuel-135/	Web	Ancient support for 3,000; Hebrew 30,000 receives serious critical defense; no simple consensus.
NET_2SA84	NET Bible / Bible.org	2 Samuel 8:4 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=2Sa&chapter=8&verse=4	Web	LXX 1,000 chariots + 7,000 charioteers; parallel 1 Chr 18:4; NIV adopts alternative while NET retains MT 1,700.
NET_2SA157	NET Bible / Bible.org	2 Samuel 15:7 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=2Sa&chapter=15&verse=7	Web	MT 40 vs Lucianic Greek/Syriac/Vulgate four; chronology and most modern English translations favor four.
NET_2SA2413	NET Bible / Bible.org	2 Samuel 24:13 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=2Sa&chapter=24&verse=13	Web	LXX has three rather than MT seven; parallel 1 Chr 21:12; many modern translations follow three.
NET_1KI426	NET Bible / Bible.org	1 Kings 4:26 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=1Ki&chapter=4&verse=26	Web	MT 40,000 vs some Greek manuscripts and 2 Chr 9:25 4,000; modern translations split.
NET_1KI511	NET Bible / Bible.org	1 Kings 5:11 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=1Ki&chapter=5&verse=11	Web	Hebrew 20 cors vs ancient Greek and 2 Chr 2:10 20,000 baths.
TIPS_1KI511	United Bible Societies / TIPs	Translation commentary on 1 Kings 5:11	Translation commentary	https://tips.translation.bible/story/translation-commentary-on-1-kings-511/	Web	Documents LXX/Syriac evidence and divergent modern scholarly treatment of oil quantity/unit.
NET_2KI253	NET Bible / Bible.org	2 Kings 25:3 textual note	NET Bible notes	https://classic.net.bible.org/passage.php?passage=2Ki+25%3A3	Web	MT lacks fourth; parallel Jer 52:6 supplies it; almost all English translations follow parallel.
NET_1CH259	NET Bible / Bible.org	1 Chronicles 25:9 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=1Ch&chapter=25&verse=9	Web	Recurring formula and required total of 288 support supplying first group of twelve.
NET_2CH34	NET Bible / Bible.org	2 Chronicles 3:4 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=2Ch&chapter=3&verse=4	Web	MT 120 cubits vs ancient Greek/Syriac 20; corruption explanation and architectural fit favor 20.
NET_2CH222	NET Bible / Bible.org	2 Chronicles 22:2 textual note	NET Bible notes	https://classic.net.bible.org/passage.php?passage=2Ch+22%3A2	Web	MT 42 vs Greek/Syriac and parallel 2 Kings 8:26 22.
NET_2CH369	NET Bible / Bible.org	2 Chronicles 36:9 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=2Ch&chapter=36&verse=9	Web	Most Hebrew manuscripts 8; one Hebrew manuscript plus Greek/Syriac and 2 Kings 24:8 support 18.
CAM_NEH7	Cambridge Bible for Schools and Colleges (via BibleHub)	Nehemiah 7 commentary, verse 68	Historical commentary	https://biblehub.com/commentaries/cambridge/nehemiah/7.htm	Web	Old Hebrew omission vs Ezra/1 Esdras/LXX/Vulgate inclusion; plausible copyist omission by eye-skip.
NET_EZK261	NET Bible / Bible.org	Ezekiel 26:1 textual note	NET Bible notes; cites D. I. Block, NICOT	https://classic.net.bible.org/verse.php?book=Eze&chapter=26&verse=1	Web	MT lacks month number; proposed reconstructions are conjectural and vary.
TIPS_EZK4049	Carl Gross & Philip C. Stine / UBS Helps for Translators	Translation commentary on Ezekiel 40:49	A Handbook on Ezekiel, 2016	https://tips.translation.bible/story/translation-commentary-on-ezekiel-4049/	Web	Hebrew 11 vs LXX 12; HOTTP recommends retain 11, while structural dimensions motivate 12.
BH_EZK424	BibleHub commentary collection	Ezekiel 42:4 commentaries	Multiple historical commentaries	https://biblehub.com/commentaries/ezekiel/42-4.htm	Web	LXX/Syriac 100 vs Hebrew one; critical commentators split between emendation and defense of MT syntax.
NET_EZK451	NET Bible / Bible.org	Ezekiel 45:1 textual note	NET Bible notes	https://classic.net.bible.org/verse.php?book=Eze&chapter=45&verse=1	Web	MT width 10,000 vs LXX 20,000; internal dimensions and many critical translations favor 20,000.
NET_EZK455	NET Bible / Bible.org	Ezekiel 45:5 textual note	NET Bible notes; cites L. C. Allen, Ezekiel WBC 2:246	https://classic.net.bible.org/verse.php?book=Eze&chapter=45&verse=5	Web	LXX clause about cities vs difficult MT clause containing twenty; clause-level textual issue.
BIBLICA_PHILOSOPHY	Biblica	NIV Bible translation philosophy	Web	https://www.biblica.com/niv-bible/niv-bible-translation-philosophy/	Web	Context for NIV reader-oriented rendering and unit conversion policy.
UNIT_LUK_13_21	BibleGateway / NIV	NIV LUK 13:21	NIV web passage	https://www.biblegateway.com/passage/?search=LUK+13%3A21&version=NIV	Web	Published NIV unit-converted wording for LUK 13:21.
UNIT_LUK_16_6	BibleGateway / NIV	NIV LUK 16:6	NIV web passage	https://www.biblegateway.com/passage/?search=LUK+16%3A6&version=NIV	Web	Published NIV unit-converted wording for LUK 16:6.
UNIT_LUK_16_7	BibleGateway / NIV	NIV LUK 16:7	NIV web passage	https://www.biblegateway.com/passage/?search=LUK+16%3A7&version=NIV	Web	Published NIV unit-converted wording for LUK 16:7.
UNIT_LUK_24_13	BibleGateway / NIV	NIV LUK 24:13	NIV web passage	https://www.biblegateway.com/passage/?search=LUK+24%3A13&version=NIV	Web	Published NIV unit-converted wording for LUK 24:13.
UNIT_JHN_2_6	BibleGateway / NIV	NIV JHN 2:6	NIV web passage	https://www.biblegateway.com/passage/?search=JHN+2%3A6&version=NIV	Web	Published NIV unit-converted wording for JHN 2:6.
UNIT_JHN_6_19	BibleGateway / NIV	NIV JHN 6:19	NIV web passage	https://www.biblegateway.com/passage/?search=JHN+6%3A19&version=NIV	Web	Published NIV unit-converted wording for JHN 6:19.
UNIT_JHN_11_18	BibleGateway / NIV	NIV JHN 11:18	NIV web passage	https://www.biblegateway.com/passage/?search=JHN+11%3A18&version=NIV	Web	Published NIV unit-converted wording for JHN 11:18.
UNIT_JHN_19_39	BibleGateway / NIV	NIV JHN 19:39	NIV web passage	https://www.biblegateway.com/passage/?search=JHN+19%3A39&version=NIV	Web	Published NIV unit-converted wording for JHN 19:39.
UNIT_JHN_21_8	BibleGateway / NIV	NIV JHN 21:8	NIV web passage	https://www.biblegateway.com/passage/?search=JHN+21%3A8&version=NIV	Web	Published NIV unit-converted wording for JHN 21:8.
UNIT_ACT_27_28	BibleGateway / NIV	NIV ACT 27:28	NIV web passage	https://www.biblegateway.com/passage/?search=ACT+27%3A28&version=NIV	Web	Published NIV unit-converted wording for ACT 27:28.
UNIT_REV_6_6	BibleGateway / NIV	NIV REV 6:6	NIV web passage	https://www.biblegateway.com/passage/?search=REV+6%3A6&version=NIV	Web	Published NIV unit-converted wording for REV 6:6.
UNIT_REV_16_21	BibleGateway / NIV	NIV REV 16:21	NIV web passage	https://www.biblegateway.com/passage/?search=REV+16%3A21&version=NIV	Web	Published NIV unit-converted wording for REV 16:21.
