CHECK	RESULT
CERTIFICATION_STATUS	CERTIFIED_REFERENCE_DATASET
CANONICAL_ROWS	6244
OL_NUMERIC_VERSES	4376
OL_EXPRESSIONS	6749
UNCLASSIFIED_POINTED_FORMS	0
POINTED_TOKEN_AUDIT_ROWS	341
CRITICAL_VARIANT_ROWS	21
UNIT_CONVERSION_ROWS	12
DUPLICATE_CANONICAL_KEYS	0
VRS_ORDER	PASS
PROVENANCE_RESOLUTION	PASS
REGRESSION_TESTS	PENDING_FINAL_RUN
HEB_GRK_PUBLIC_METADATA	REQUIRES_RESOLUTION_BEFORE_PUBLIC_REDISTRIBUTION
OPERATOR_LAYER_STATUS	VERIFIED
OPERATOR_INDEX_ROWS	6244
OPERATOR_DUPLICATE_KEYS	0
FOOTNOTE_GUIDANCE_ROWS	21
OPERATOR_SOURCE_RESOLUTION	PASS
BASE_REGRESSION_GATE	PENDING_FINAL_RUN (inherited)
