BK	CH	VS	OL_REF	LANG	TOKEN_NO	TOKEN	CANON_TOKEN	ATOM_VALUE	ATOM_TYPE	STATUS	REASON	SEED_LEXEME_OCCURRENCES	OL_TEXT	COVERAGE_CLASS	SEMANTIC_VALUE	AUDIT_REASON
1CH	7	35	1CH 7:35	HEB	6	וְשֵׁ֥לֶשׁ	וְשֵׁלֶשׁ	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וּבֶן־הֵ֖לֶם אָחִ֑יו צוֹפַ֥ח וְיִמְנָ֖ע וְשֵׁ֥לֶשׁ וְעָמָֽל׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1CH	7	37	1CH 7:37	HEB	4	וְשִׁלְשָׁ֛ה	וְשִׁלְשָׁה	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	בֶּ֣צֶר וָה֗וֹד וְשַׁמָּ֧א וְשִׁלְשָׁ֛ה וְיִתְרָ֖ן וּבְאֵרָֽא׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1CH	11	11	1CH 11:11	HEB	11	הַשָּׁ֣לִישִׁ֔ים	הַשָּׁלִישִׁים	3	ordinal	NOVEL_NUMERIC_CANDIDATE		0	וְאֵ֛לֶּה מִסְפַּ֥ר הַגִּבֹּרִ֖ים אֲשֶׁ֣ר לְדָוִ֑יד יָשָׁבְעָ֣ם בֶּן־חַכְמוֹנִ֗י רֹ֚אשׁ *הַשְּׁלוֹשִׁים **הַשָּׁ֣לִישִׁ֔ים הֽוּא־עוֹרֵ֧ר אֶת־חֲנִית֛וֹ עַל־שְׁלֹשׁ־מֵא֥וֹת חָלָ֖ל בְּפַ֥עַם אֶחָֽת׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1CH	11	21	1CH 11:21	HEB	3	בַשְּׁנַ֙יִם֙	בַשְּׁנַיִם	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	מִן־הַשְּׁלוֹשָׁ֤ה בַשְּׁנַ֙יִם֙ נִכְבָּ֔ד וַיְהִ֥י לָהֶ֖ם לְשָׂ֑ר וְעַד־הַשְּׁלוֹשָׁ֖ה לֹֽא־בָֽא׃ ס	NUMERIC	2	Numeric twofold/double idiom; retained as semantic 2.
1CH	12	19	1CH 12:19	HEB	7	הַשָּׁלִישִׁים֒	הַשָּׁלִישִׁים	3	ordinal	NOVEL_NUMERIC_CANDIDATE		0	וְר֣וּחַ לָבְשָׁ֗ה אֶת־עֲמָשַׂי֮ רֹ֣אשׁ *הַשְּׁלוֹשִׁים **הַשָּׁלִישִׁים֒ לְךָ֤ דָוִיד֙ וְעִמְּךָ֣ בֶן־יִשַׁ֔י שָׁל֨וֹם_׀ שָׁל֜וֹם לְךָ֗ וְשָׁלוֹם֙ לְעֹ֣זְרֶ֔ךָ כִּ֥י עֲזָרְךָ֖ אֱלֹהֶ֑יךָ וַיְקַבְּלֵ֣ם דָּוִ֔יד וַֽיִּתְּנֵ֖ם בְּרָאשֵׁ֥י הַגְּדֽוּד׃ פ	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1CH	15	21	1CH 15:21	HEB	9	הַשְּׁמִינִ֖ית	הַשְּׁמִינִית	8	ordinal	NOVEL_NUMERIC_CANDIDATE		0	וּמַתִּתְיָ֣הוּ וֶאֱלִֽיפְלֵ֗הוּ וּמִקְנֵיָ֙הוּ֙ וְעֹבֵ֣ד_אֱדֹ֔ם וִֽיעִיאֵ֖ל וַעֲזַזְיָ֑הוּ בְּכִנֹּר֥וֹת עַל־הַשְּׁמִינִ֖ית לְנַצֵּֽחַ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
1CH	25	19	1CH 25:19	HEB	1	הַשְּׁנֵ֤ים	הַשְּׁנֵים	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	הַשְּׁנֵ֤ים עָשָׂר֙ לַחֲשַׁבְיָ֔ה בָּנָ֥יו וְאֶחָ֖יו שְׁנֵ֥ים עָשָֽׂר׃	COMPOUND_COMPONENT	2	Genuine numeral morphology, but this token is a component of a larger semantic numeric expression and is not indexed independently.
1CH	27	15	1CH 27:15	HEB	1	הַשְּׁנֵ֤ים	הַשְּׁנֵים	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	הַשְּׁנֵ֤ים עָשָׂר֙ לִשְׁנֵ֣ים עָשָׂ֣ר הַחֹ֔דֶשׁ חֶלְדַּ֥י הַנְּטוֹפָתִ֖י לְעָתְנִיאֵ֑ל וְעַל֙ מַחֲלֻקְתּ֔וֹ עֶשְׂרִ֥ים וְאַרְבָּעָ֖ה אָֽלֶף׃ פ	COMPOUND_COMPONENT	2	Genuine numeral morphology, but this token is a component of a larger semantic numeric expression and is not indexed independently.
1CH	29	7	1CH 29:7	HEB	17	וּשְׁמוֹנַ֥ת	וּשְׁמוֹנַת	8	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַֽיִּתְּנ֞וּ לַעֲבוֹדַ֣ת בֵּית־הָאֱלֹהִ֗ים זָהָ֞ב כִּכָּרִ֣ים חֲמֵֽשֶׁת־אֲלָפִים֮ וַאֲדַרְכֹנִ֣ים רִבּוֹ֒ וְכֶ֗סֶף כִּכָּרִים֙ עֲשֶׂ֣רֶת אֲלָפִ֔ים וּנְחֹ֕שֶׁת רִבּ֛וֹ וּשְׁמוֹנַ֥ת אֲלָפִ֖ים כִּכָּרִ֑ים וּבַרְזֶ֖ל מֵֽאָה־אֶ֥לֶף כִּכָּרִֽים׃	COMPOUND_COMPONENT	8	Genuine numeral morphology, but this token is a component of a larger semantic numeric expression and is not indexed independently.
1CO	3	8	1CO 3:8	GRK	7	ἕν	ἕν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	ὁ φυτεύων δὲ καὶ ὁ ποτίζων ἕν εἰσιν, ἕκαστος δὲ τὸν ἴδιον μισθὸν λήμψεται κατὰ τὸν ἴδιον κόπον·	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	6	16	1CO 6:16	GRK	9	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	[ἢ] οὐκ οἴδατε ὅτι ὁ κολλώμενος τῇ πόρνῃ ἓν σῶμά ἐστιν; Ἔσονται γάρ, φησίν, οἱ δύο εἰς σάρκα μίαν.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	6	17	1CO 6:17	GRK	6	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	ὁ δὲ κολλώμενος τῷ κυρίῳ ἓν πνεῦμά ἐστιν.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	10	17	1CO 10:17	GRK	4	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	ὅτι εἷς ἄρτος, ἓν σῶμα οἱ πολλοί ἐσμεν, οἱ γὰρ πάντες ἐκ τοῦ ἑνὸς ἄρτου μετέχομεν.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	11	5	1CO 11:5	GRK	14	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	πᾶσα δὲ γυνὴ προσευχομένη ἢ προφητεύουσα ἀκατακαλύπτῳ τῇ κεφαλῇ καταισχύνει τὴν κεφαλὴν αὐτῆς· ἓν γάρ ἐστιν καὶ τὸ αὐτὸ τῇ ἐξυρημένῃ.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	11	1CO 12:11	GRK	6	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	πάντα δὲ ταῦτα ἐνεργεῖ τὸ ἓν καὶ τὸ αὐτὸ πνεῦμα διαιροῦν ἰδίᾳ ἑκάστῳ καθὼς βούλεται.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	12	1CO 12:12	GRK	5	ἕν	ἕν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	Καθάπερ γὰρ τὸ σῶμα ἕν ἐστιν καὶ μέλη πολλὰ ἔχει, πάντα δὲ τὰ μέλη τοῦ σώματος πολλὰ ὄντα ἕν ἐστιν σῶμα, οὕτως καὶ ὁ Χριστός·	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1CO	12	12	1CO 12:12	GRK	19	ἕν	ἕν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	Καθάπερ γὰρ τὸ σῶμα ἕν ἐστιν καὶ μέλη πολλὰ ἔχει, πάντα δὲ τὰ μέλη τοῦ σώματος πολλὰ ὄντα ἕν ἐστιν σῶμα, οὕτως καὶ ὁ Χριστός·	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
